"delta"	"Lambda=0.15"	"Lambda=0.3"	"Lambda=0.45"	"Lambda=0.6"	"Lambda=0.75"	"Lambda=0.9"	"Lambda=1.05"
1	0.38830068684493452	1.5318758182604972	3.4000323062749587	5.9637145247337234	9.1953965483859113	13.068982793500936	17.559716303566113
2	0.13606198964718673	0.53164777206041998	1.1691182242562955	2.0323694614972491	3.1066694220435263	4.3785148918565588	5.8355060468640866
3	0.052619353336432669	0.20543882992989835	0.45140527190059438	0.78408001764082753	1.1975735920247746	1.6864885512693495	2.2458693191916894
4	0.023320851372988119	0.091202644244059573	0.20071094253822513	0.34914096487286739	0.53399576439973746	0.75296684738187138	1.0039169186596236
5	0.011573521030970893	0.045349685522844209	0.099986517076296136	0.17423480451275661	0.26693038630650875	0.37698718971130201	0.50339093989439888
6	0.0062783688591964255	0.024645020474211773	0.054430077821050694	0.095004810304733993	0.14577862619473185	0.20619632301237851	0.27573557042710225
7	0.0036519525975919345	0.014358039520213427	0.031759257846812477	0.055516380003896374	0.085308671613967472	0.12083270650993227	0.1618012704689409
8	0.0022446930748333675	0.008837744751165417	0.019575588402969634	0.034264791481617032	0.052721467436480666	0.074770727354639874	0.10024616828018592
9	0.0014420620551151598	0.0056848885967696861	0.012607719524998512	0.022095259488364259	0.034037391964946281	0.048328910689676473	0.064869267211353885
10	0.00096032468217438009	0.0037901629011904781	0.0084152047981787238	0.01476421022854739	0.022768863130651417	0.032363633868541765	0.043485649057664713
11	0.00065875210777100373	0.0026026682106902031	0.0057846231258214427	0.010159274237658405	0.015682984482199495	0.022313749159930345	0.03001112636159209
12	0.0004632108522373916	0.0018318640100576155	0.0040753144381743025	0.0071639809292079877	0.011069304107751933	0.015763706337286896	0.021220553429853927
13	0.0003326051755889668	0.0013165167055370538	0.00293138034164495	0.0051574913687477717	0.0079757711177528731	0.01136774445380613	0.015315518184291271
14	0.00024314004537651458	0.00096317578957656713	0.0021463421689278109	0.0037792784019920143	0.0058490145749741901	0.0083429587354724499	0.011248884472200711
15	0.00018051178452384591	0.00071561301095218556	0.0015958491547307744	0.0028120214860605224	0.0043551792700526255	0.006216612238142863	0.008387843319137637
16	0.00013583814679114188	0.0005388806071450914	0.0012025453612943207	0.0021204145382022874	0.0032862298111224225	0.0046938879397293406	0.0063374364543844603
17	0.00010344462601009628	0.00041063282896258008	0.00091692777262787632	0.0016177992637811025	0.0025088209979404359	0.0035856678858172728	0.0048441134580555914
18	0.000079614374463694319	0.00031622113497659295	0.00070651928923968083	0.0012472778836728721	0.0019353343369308688	0.0027675928183296372	0.0037410226700153839
19	0.000061858489107257402	0.00024582885169477727	0.00054953888877835045	0.00097066284668718958	0.001506920398471976	0.0021560756505923106	0.0029159361742862458
20	0.000048477314388500275	0.00019274726592297007	0.00043109055344868722	0.0007618189450743217	0.0011832746498911376	0.0016938297040422426	0.0022918853708692227
21	0.000038289661924441934	0.00015231079848242021	0.0003408075867081746	0.0006025451532201477	0.00093630918345167778	0.0013409055390731246	0.0018151598836616268
22	0.000030461672137367867	0.00012122354715260368	0.00027136173500706902	0.00047996657590072088	0.00074614239536924259	0.001069007264121756	0.0014476927626200806
23	0.000024396314566114861	0.000097124161791997475	0.00021749929069630742	0.00038484718304185729	0.00059850289872795486	0.00085781092397631119	0.0011621250222382066
24	0.000019660645893838548	0.000078299216217491107	0.00017540574481194185	0.00031047696565173703	0.00048301621458192943	0.00069253333270426786	0.0009385445713316545
25	0.00001593707272616494	0.000063491046553444396	0.00014227957408451851	0.00025192494915872563	0.00039205404399264164	0.00056229824729405376	0.00076229340328691861
26	0.000012990167636165624	0.000051766833504496747	0.00011604169241700535	0.00020552967358579908	0.00031994890016180135	0.00045902064931689428	0.00062246931294451426
27	0.000010643740696743882	0.000042428091129381643	0.000095134460141762952	0.00016854652380878054	0.00026245019922671126	0.00037663361862312611	0.00051088710383562101
28	8.7647813867444105e-6	0.000034947240200110992	0.000078380757598864562	0.00013890031316816066	0.00021634246782854821	0.0003105453469504284	0.00042134862366942241
29	7.2520720460985878e-6	0.000028922608099197966	0.00006488394480611516	0.00011500955212714281	0.00017917402212466351	0.00025725305787821642	0.00034912346251895274
30	6.0280212673534831e-6	0.000024046136375686125	0.000053956032811569543	0.000095660206127086392	0.00014906195254015019	0.00021406536160999634	0.00029057530898851838
